Fecha;Pensionistas;Hombres;Mujeres;Gasto;Jubilacion;Viudedad;Incapacidad;Orfandad;Favor
may-15;8434731;4382142;4052360;8218;5733;1481;858;125;20
jun-15;8447911;4388378;4059321;8238;5749;1483;860;126;20
jul-15;8461153;4394850;4066129;8260;5767;1485;862;126;20
ago-15;8462042;4395349;4066465;8271;5778;1484;862;126;20
sep-15;8474512;4401312;4073015;8293;5797;1487;863;126;20
oct-15;8485978;4406434;4079327;8317;5818;1489;863;126;20
nov-15;8498073;4412354;4085506;8341;5838;1491;865;126;20
dic-15;8508482;4417332;4091026;8360;5855;1493;867;126;20
ene-16;8503090;4414722;4088276;8384;5876;1494;867;126;21
feb-16;8509091;4417121;4091753;8406;5897;1496;866;127;20
mar-16;8518727;4421478;4097019;8428;5915;1498;867;127;21
abr-16;8524591;4423505;4100816;8445;5930;1499;869;127;21
may-16;8528843;4425358;4103294;8467;5948;1501;870;128;21
jun-16;8545172;4433138;4111868;8491;5966;1504;872;128;21
jul-16;8559328;4439948;4119181;8515;5985;1506;875;128;21
ago-16;8568629;4444259;4124178;8535;6003;1507;875;128;21
sep-16;8574146;4446349;4127590;8551;6018;1509;875;128;21
oct-16;8586224;4451164;4134852;8577;6041;1511;875;128;21
nov-16;8595509;4455524;4139813;8599;6060;1513;877;127;21
dic-16;8609085;4462196;4146785;8623;6079;1515;880;128;21
ene-17;8602601;4458754;4143757;8648;6101;1517;881;128;21
feb-17;8598985;4457988;4140840;8661;6117;1515;880;128;21
mar-17;8610495;4461954;4148401;8685;6133;1519;882;129;21
abr-17;8624602;4467641;4156734;8710;6151;1523;885;129;22
may-17;8618842;4464508;4154159;8723;6164;1523;885;129;22
jun-17;8637504;4472973;4164325;8748;6183;1526;887;130;22
jul-17;8652057;4479922;4171975;8771;6202;1528;889;130;22
ago-17;8661628;4484049;4177428;8791;6221;1529;889;130;22
sep-17;8668141;4486574;4181408;8807;6237;1530;889;130;22
oct-17;8679378;4491082;4188117;8832;6260;1532;889;129;22
nov-17;8692779;4497218;4195427;8858;6283;1534;890;129;22
dic-17;8705707;4502899;4202714;8881;6302;1536;892;129;22
ene-18;8698160;4498646;4199434;8905;6324;1537;893;129;22
feb-18;8699056;4498180;4200622;8925;6345;1537;892;130;22
mar-18;8708127;4501709;4206133;8947;6362;1539;893;130;22
abr-18;8715347;4504094;4211068;8965;6378;1540;894;130;22
may-18;8714595;4502424;4212039;8985;6395;1542;895;130;23
jun-18;8733153;4510248;4222705;9010;6414;1545;897;131;23
jul-18;8747282;4516370;4230789;9032;6434;1547;898;131;23
ago-18;8755362;4519465;4235776;9218;6550;1602;909;134;23
sep-18;8762772;4522081;4240553;9235;6567;1603;908;134;23
nov-18;8787752;4530615;4256939;9287;6613;1608;910;133;23
dic-18;8806744;4539283;4267393;9318;6639;1611;911;133;24
ene-19;8807128;4539414;4267640;9536;6778;1671;927;136;24
feb-19;8818371;4545015;4273280;9563;6805;1672;925;136;24
mar-19;8816002;4543330;4272425;9576;6816;1672;927;137;24
abr-19;8824066;4546488;4277513;9598;6831;1677;929;137;24
may-19;8815982;4541180;4274738;9611;6843;1677;929;137;24
jun-19;8838580;4550874;4287642;9644;6863;1681;938;138;25
jul-19;8849299;4555099;4294137;9662;6878;1683;939;138;25
ago-19;8858778;4558393;4300323;9682;6894;1685;939;138;25
sep-19;8862296;4558901;4303333;9693;6907;1685;938;138;25
oct-19;8869496;4560661;4308774;9710;6923;1687;938;138;25
nov-19;8882933;4565995;4316878;9736;6944;1690;939;138;25
dic-19;8897902;4572380;4325463;9760;6963;1692;941;138;25
ene-20;8897979;4571631;4326285;9769;6976;1691;940;138;25
feb-20;8904789;4574430;4330300;9872;7056;1706;946;139;25
mar-20;8896412;4569098;4327257;9878;7061;1707;946;140;25
abr-20;8889909;4563831;4326022;9879;7065;1706;944;140;25
may-20;8856073;4545099;4310915;9853;7049;1699;940;139;25
jun-20;8855193;4542225;4312909;9862;7058;1702;938;139;25
jul-20;8864446;4544056;4320335;9883;7073;1708;937;140;25
ago-20;8873158;4546714;4326390;9904;7092;1710;936;140;25
sep-20;8861002;4539731;4321217;9911;7103;1709;934;140;25
oct-20;8867680;4541369;4326256;9930;7122;1711;933;139;25
nov-20;8881019;4546235;4334729;9955;7144;1713;933;139;26
dic-20;8899064;4553278;4345732;9985;7169;1717;935;139;26
ene-21;8901219;4553093;4348072;10088;7247;1731;943;141;26
feb-21;8897914;4549166;4348694;10101;7262;1730;941;141;26
mar-21;8904291;4550364;4353873;10120;7277;1734;941;141;26
abr-21;8911412;4551187;4360171;10136;7289;1738;941;142;26
may-21;8920066;4553349;4366664;10154;7303;1741;942;142;26
jun-21;8935875;4559541;4376282;10180;7323;1744;944;143;26
jul-21;8947574;4564087;4383435;10202;7341;1746;946;143;26
ago-21;8941071;4559461;4381558;10217;7356;1746;946;143;27
sep-21;8949770;4562667;4387051;10234;7373;1746;945;143;27
oct-21;8958584;4565412;4393122;10252;7390;1747;945;143;27
nov-21;8974596;4572221;4402325;10280;7415;1750;946;143;27
dic-21;8990513;4579040;4411425;10309;7438;1752;948;143;27
ene-22;8995154;4581223;4413883;10745;7758;1825;985;149;28
feb-22;8988047;4575753;4412248;10756;7775;1821;983;149;28
mar-22;8996829;4579533;4417250;10782;7796;1824;985;150;28
abr-22;9001585;4579928;4421611;10798;7808;1826;986;150;28
may-22;8989652;4572324;4417284;10810;7820;1827;985;150;28
jun-22;9004591;4578103;4426444;10832;7837;1830;986;150;28
jul-22;9013485;4579847;4433593;10846;7848;1833;986;151;28
ago-22;9015379;4578929;4436407;10857;7860;1833;985;151;28
sep-22;9015737;4577293;4438402;10867;7871;1833;983;151;28
oct-22;9022989;4578861;4444086;10887;7890;1836;982;150;29
nov-22;9036457;4583602;4452814;10913;7914;1839;982;150;29
dic-22;9053550;4590894;4462615;10943;7940;1842;983;150;29
ene-23;9067433;4598430;4468962;11902;8649;1996;1063;163;31
feb-23;9067267;4597957;4469269;11922;8675;1994;1059;162;31
mar-23;9076616;4602505;4474070;11946;8696;1997;1059;163;31
abr-23;9082603;4604413;4478152;11963;8711;1998;1059;163;31
